Interaction_ID,Customer_ID,Interaction_Date,Support_Channel,Issue_Type,Issue_Category,Resolution_Status,Resolution_Time_Hours,Customer_Satisfaction_After_Interaction,Escalated,Complaint_Flag
INT-519923,NXT-105029,2024-08-08,Phone,"Billing Issue",Billing,Resolved,7.00,75.00,No,No
INT-519971,NXT-105041,2025-04-26,"Live Chat","Account Issue",Account,Unresolved,3.50,21.00,No,No
INT-548362,NXT-112273,2024-12-29,"Live Chat","Technical Problem",Technical,Unresolved,5.30,40.00,No,No
INT-530426,NXT-107662,2024-07-30,"Social Media","Service Activation",Account,Resolved,2.60,82.00,No,No
INT-516879,NXT-104277,2024-08-06,Email,"Account Issue",Account,Resolved,1.50,66.00,No,No
INT-533117,NXT-108362,2024-08-30,"Live Chat","Cancellation Request",Retention,Resolved,6.50,59.00,Yes,No
INT-532809,NXT-108281,2025-07-31,Email,"Billing Issue",Billing,Resolved,22.60,61.00,No,Yes
INT-516607,NXT-104204,2025-03-02,Phone,"Cancellation Request",Retention,Resolved,5.60,67.00,No,No
INT-553092,NXT-113500,2024-04-26,Email,"Data Problem",Technical,Unresolved,24.10,50.00,No,No
INT-504583,NXT-101165,2024-02-15,Phone,"Network Problem",Network,resolved,5.50,93.00,No,Yes
INT-505506,NXT-101386,2024-09-01,"Live Chat","Device Problem",Technical,Resolved,2.90,32.00,No,No
INT-514162,NXT-103590,2024-08-24,Store,"Network Problem",Network,Resolved,2.00,23.00,No,No
INT-547354,NXT-111999,2025-02-26,Phone,"Data Problem",Technical,Resolved,3.90,34.00,No,Yes
INT-541645,NXT-110550,2025-05-07,App,"Technical Problem",Technical,Escalated,26.30,45.00,Yes,No
INT-545048,NXT-111415,2025-06-02,App,"Account Issue",Account,Resolved,9.50,50.00,No,No
INT-508886,NXT-102226,2024-10-17,Phone,"Technical Problem",Technical,Unresolved,64.90,37.00,No,No
INT-531514,NXT-107925,2024-12-25,"Social Media","Data Problem",Technical,Pending,8.80,28.00,No,No
INT-510360,NXT-102600,2025-08-04,Phone,"Device Problem",Technical,Resolved,3.60,96.00,No,Yes
INT-531172,NXT-107849,2025-10-21,Phone,"Cancellation Request",Retention,Escalated,37.20,30.00,Yes,Yes
INT-503607,NXT-100917,2025-05-27,Phone,"Cancellation Request",Retention,Resolved,1.20,88.00,No,Yes
INT-501276,NXT-100326,2025-01-14,App,"Data Problem",Technical,Unresolved,1.50,45.00,No,No
INT-531944,NXT-108041,2025-07-25,"Live Chat","Device Problem",Technical,Resolved,0.70,73.00,No,No
INT-533668,NXT-108492,2024-04-09,Phone,"Billing Issue",Billing,Resolved,1.10,76.00,No,No
INT-512670,NXT-103190,2025-06-27,Phone,"Network Problem",Network,Resolved,2.20,66.00,No,Yes
INT-502334,NXT-100610,2024-02-20,Store,"Cancellation Request",Retention,Resolved,2.50,45.00,No,No
INT-513815,NXT-103499,2025-11-25,Phone,"Cancellation Request",Retention,Resolved,1.50,51.00,No,No
INT-505951,NXT-101496,2025-09-15,Email,"Service Activation",Account,Unresolved,10.90,12.00,No,NO
INT-544272,NXT-111215,2024-04-02,Phone,"Account Issue",Account,Resolved,3.50,100.00,No,No
INT-501656,NXT-100420,2024-12-23,App,"Technical Problem",Technical,Resolved,4.30,75.00,No,Yes
INT-550813,NXT-112916,2025-07-21,Store,"Network Problem",Network,Resolved,0.80,26.00,No,Yes
INT-530851,NXT-107768,2025-06-28,"Social Media","Network Problem",Network,Resolved,9.40,86.00,No,Yes
INT-508701,NXT-102173,2024-12-31,Phone,"Billing Issue",Billing,Resolved,5.70,75.00,No,Yes
INT-550315,NXT-112788,2024-10-13,Phone,"Billing Issue",Billing,Resolved,11.90,87.00,No,Yes
INT-502313,NXT-100603,2025-09-28,Phone,"Technical Problem",Technical,Resolved,6.10,48.00,No,Yes
INT-554214,NXT-113805,2025-05-12,"Live Chat","Device Problem",Technical,Resolved,5.60,75.00,No,No
INT-521092,NXT-105321,2024-12-24,"Live Chat","Cancellation Request",Retention,Escalated,35.20,90.00,Yes,No
INT-539790,NXT-110068,2024-05-21,Email,"Network Problem",Network,Resolved,2.10,64.00,No,Yes
INT-547219,NXT-111971,2024-08-30,App,"Technical Problem",Technical,Escalated,11.70,60.00,Yes,No
INT-509991,NXT-102503,2025-08-05,Phone,"Billing Issue",Billing,Resolved,4.20,98.00,No,Yes
INT-555817,NXT-114210,2025-07-30,Phone,"Cancellation Request",Retention,Resolved,2.10,61.00,No,No
INT-546915,NXT-111896,2024-11-28,App,"Billing Issue",Billing,Resolved,0.60,38.00,No,Yes
INT-539609,NXT-110018,2025-06-19,"Live Chat","Account Issue",Account,Resolved,9.60,77.00,No,No
INT-556706,NXT-114431,2024-05-03,"Live Chat","Service Activation",Account,Resolved,8.00,59.00,No,No
INT-541410,NXT-110497,2025-07-05,Phone,"Data Problem",Technical,Resolved,7.80,59.00,Yes,No
INT-534135,NXT-108617,2023-11-11,"Social Media","Network Problem",Network,Resolved,0.20,58.00,No,Yes
INT-539092,NXT-109888,2024-12-07,"Live Chat","Billing Issue",Billing,Unresolved,27.60,27.00,No,No
INT-535218,NXT-108890,2024-08-19,Store,"Data Problem",Technical,RESOLVED,NULL,75.00,No,No
INT-549375,NXT-112541,2024-12-27,Store,"Network Problem",Network,Escalated,19.40,60.00,Yes,Yes
INT-501690,NXT-100426,2024-05-17,"Live Chat","Network Problem",Network,Resolved,0.20,53.00,No,Yes
INT-509653,NXT-102413,2024-07-19,App,"Service Activation",Account,Pending,0.60,1.00,No,No
INT-520286,NXT-105119,2024-11-19,"Social Media","Network Problem",Network,Pending,8.30,37.00,Yes,Yes
INT-555064,NXT-114026,2025-10-21,Phone,Other,Other,Resolved,1.60,81.00,NULL,No
INT-513078,NXT-103311,2024-02-06,"Live Chat","Service Activation",Account,Resolved,1.90,48.00,No,No
INT-535112,NXT-108865,2024-05-15,"Live Chat","Account Issue",Account,Escalated,7.30,37.00,Yes,No
INT-536542,NXT-109223,2024-10-27,Phone,Other,Other,Resolved,4.80,41.00,No,YES
INT-537012,NXT-109333,2025-07-15,Email,"Data Problem",Technical,Escalated,19.10,65.00,Yes,No
