Customer_ID,Activity_Month,Tenure_Months,Monthly_Data_GB,Monthly_Voice_Minutes,Monthly_SMS,International_Minutes,Roaming_Usage_GB,Average_Call_Duration,Network_Downtime_Minutes,Dropped_Call_Rate,Network_Quality_Score,Service_Quality_Score,Customer_Satisfaction_Score,Monthly_Charge,Additional_Charges,Discount,Tax,Total_Monthly_Bill,Payment_Delay_Days,Missed_Payments,Outstanding_Balance,Customer_Service_Calls,Technical_Support_Tickets,Complaint_Count,Competitor_Available,Competitor_Name,Competitor_Price_Difference,Competitor_Promotion,Competitor_Service_Rating,Port_Out_Intent,Churn_Status,Network_Downtime_Outlier
NXT-100001,2024-03-01,0,5.99,127.20,122.00,0.00,0.00,6.56,11.50,0.0048,79.30,60.50,46.60,71.50,4.28,0.00,5.36,81.14,8,0,0.00,0,0,0,Yes,"AirLink Mobile",9.57,No,4.20,No,Active,0
NXT-100001,2024-04-01,1,21.34,387.40,0.00,0.00,0.00,3.04,35.20,0.0064,78.90,56.50,43.50,71.50,4.69,0.00,5.36,81.55,15,0,0.00,1,0,0,Yes,"Globacom Prime",-3.82,Yes,3.90,No,Active,0
NXT-100001,2024-05-01,2,5.48,198.90,74.00,0.00,0.00,2.60,29.50,0.0362,NULL,65.90,58.20,71.50,2.32,0.00,5.36,79.18,0,0,0.00,0,0,0,Yes,"Globacom Prime",5.20,Yes,2.50,No,Active,0
NXT-100001,2024-06-01,3,24.64,133.80,122.00,0.00,0.00,4.46,154.70,0.0101,76.90,55.00,44.20,71.50,0.00,10.00,5.36,NULL,2,0,0.00,1,0,0,Yes,"Zenith Connect",-12.86,No,NULL,No,Active,0
NXT-100001,2024-07-01,4,11.19,242.00,7.00,0.00,0.00,3.07,124.60,0.0212,70.20,63.00,51.40,71.50,0.63,0.00,5.36,77.49,1,0,0.00,0,0,0,Yes,"Zenith Connect",-10.02,No,4.40,No,Active,0
NXT-100001,2024-08-01,5,17.83,288.40,80.00,0.00,0.00,1.72,1.20,0.0061,76.90,68.30,45.60,71.50,1.64,0.00,5.36,78.50,9,0,0.00,1,0,0,Yes,"Globacom Prime",-0.32,No,3.10,No,Active,0
NXT-100001,2024-09-01,6,14.14,310.60,126.00,0.00,0.00,1.95,1.20,0.0175,75.60,66.80,46.40,71.50,0.88,0.00,5.36,77.74,1,0,0.00,1,1,0,Yes,"AirLink Mobile",-4.24,No,3.40,No,Active,0
NXT-100001,2024-10-01,7,17.22,157.60,171.00,0.00,0.00,5.68,33.20,0.0278,71.40,58.20,48.50,71.50,9.41,0.00,5.36,86.27,15,0,NULL,0,0,0,Yes,MTN-X,11.51,No,4.60,No,Active,0
NXT-100001,2024-11-01,8,12.01,82.10,65.00,0.00,0.00,4.27,38.60,0.0163,79.00,71.10,49.80,71.50,9.29,5.00,5.36,81.15,0,0,0.00,0,1,0,Yes,"Globacom Prime",NULL,Yes,4.70,No,Active,0
NXT-100001,2024-12-01,9,16.09,327.00,0.00,0.00,0.00,2.73,149.50,0.0089,72.50,60.10,48.80,71.50,0.17,0.00,5.36,77.03,4,0,0.00,1,0,0,Yes,"AirLink Mobile",-13.94,Yes,3.40,No,Active,0
NXT-100001,2025-01-01,10,8.47,170.10,65.00,0.00,0.00,2.66,227.90,0.0207,79.60,56.00,47.70,71.50,7.24,0.00,5.36,NULL,2,0,0.00,0,0,0,Yes,"Globacom Prime",3.74,No,4.30,No,Active,0
NXT-100001,2025-02-01,11,10.02,82.90,68.00,0.00,0.00,4.23,61.90,0.0200,81.80,63.50,41.50,71.50,2.07,5.00,5.36,73.93,4,0,0.00,0,0,1,Yes,"Globacom Prime",13.98,No,4.60,No,Active,0
NXT-100001,2025-03-01,12,4.13,102.20,68.00,0.00,0.00,5.24,4.40,0.0233,72.50,72.90,57.00,71.50,2.64,0.00,5.36,79.50,1,0,0.00,0,0,0,Yes,"Zenith Connect",-5.05,No,4.10,No,Active,0
NXT-100001,2025-04-01,13,14.45,232.30,65.00,0.00,0.00,5.83,37.50,0.0092,67.80,51.50,33.00,71.50,0.99,0.00,5.36,77.85,5,0,0.00,0,0,0,Yes,"Globacom Prime",13.69,No,3.90,No,Active,0
NXT-100001,2025-05-01,14,3.68,349.50,105.00,0.00,0.00,6.06,7.00,0.0134,84.20,75.50,60.70,71.50,6.82,0.00,5.36,83.68,1,0,0.00,0,0,1,Yes,"9Wave Telecom",-11.60,No,3.90,No,Active,0
NXT-100001,2025-06-01,15,26.29,375.80,62.00,0.00,0.00,2.93,28.70,0.0158,63.30,50.50,50.10,71.50,9.72,0.00,5.36,86.58,0,0,0.00,0,0,0,Yes,"9Wave Telecom",8.76,No,4.80,No,ACTIVE,0
NXT-100001,2025-07-01,16,8.05,349.60,0.00,0.00,0.00,4.56,38.50,0.0085,70.50,59.90,47.00,71.50,0.00,0.00,5.36,76.86,22,0,0.00,2,1,0,Yes,"Zenith Connect",-7.73,Yes,3.30,No,Active,0
NXT-100001,2025-08-01,17,13.10,283.10,0.00,0.00,0.00,5.69,8.40,0.0367,71.40,56.10,48.50,71.50,8.07,5.00,5.36,79.93,6,0,0.00,0,0,0,Yes,"Zenith Connect",-13.85,No,3.00,No,Active,0
NXT-100001,2025-09-01,18,4.61,231.20,29.00,0.00,0.00,3.08,7.90,0.0343,70.90,64.70,53.90,71.50,0.00,0.00,5.36,76.86,0,0,0.00,0,0,0,Yes,MTN-X,-6.12,No,4.50,No,Active,0
NXT-100001,2025-10-01,19,4.18,72.00,192.00,0.00,0.00,4.22,28.20,0.0311,77.90,57.30,34.10,71.50,4.38,0.00,5.36,81.24,6,0,0.00,0,0,0,Yes,"AirLink Mobile",16.13,Yes,4.00,No,Active,0
