Campaign_ID,Customer_ID,Campaign_Date,Campaign_Type,Offer_Type,Offer_Value,Contact_Channel,Customer_Contacted,Customer_Response,Offer_Accepted,Retained_After_Offer,Retention_Cost,Follow_Up_Date
CMP-718043,NXT-109585,2025-09-19,"Network Recovery","Bonus Minutes",315.00,Phone,Yes,Interested,No,No,0.53,2025-09-28
CMP-708620,NXT-104680,2025-01-24,"Contract Renewal","Device Upgrade",13.98,WhatsApp,Yes,"Requested More Info",No,No,0.80,2025-01-30
CMP-718917,NXT-110040,2024-12-07,"Win Back","Bonus Minutes",427.00,WhatsApp,Yes,"No Response",no,No,2.60,2024-12-26
CMP-725290,NXT-113448,2025-04-09,"Loyalty Campaign","Contract Upgrade",23.84,Phone,Yes,"Not Interested",No,Yes,0.03,2025-04-30
CMP-722097,NXT-111750,2025-12-24,"Loyalty Campaign","Contract Upgrade",34.71,WhatsApp,Yes,"Not Interested",No,No,1.06,2026-01-16
CMP-711027,NXT-105917,2025-08-15,"Network Recovery","Free Data",11.70,Phone,Yes,Interested,No,Yes,2.98,2025-09-03
CMP-707061,NXT-103865,2025-12-09,"Win Back","Contract Upgrade",18.14,Phone,Yes,"No Response",No,Yes,2.00,2025-12-28
CMP-724318,NXT-112962,2024-11-10,"High Value Customer","Device Upgrade",23.57,Email,Yes,Interested,Yes,Yes,4.34,2024-11-28
CMP-710092,NXT-105426,2024-06-30,"High Value Customer","Reduced Monthly Fee",34.89,"App Notification",Yes,"Not Interested",No,No,1.42,2024-07-16
CMP-708679,NXT-104712,2025-05-25,"Contract Renewal","Bonus Minutes",342.00,Email,Yes,"Not Interested",No,No,2.44,2025-05-29
CMP-701011,NXT-100562,2025-04-17,"High Value Customer","Bonus Minutes",91.00,WhatsApp,Yes,"Not Interested",No,Yes,2.85,2025-05-03
CMP-725364,NXT-113484,2024-06-16,"High Value Customer","Device Upgrade",77.63,SMS,Yes,"No Response",No,No,2.48,2024-06-27
CMP-718240,NXT-109689,2025-10-24,"Win Back","Bonus Minutes",478.00,"App Notification",Yes,Interested,Yes,yes,42.98,2025-10-27
CMP-723785,NXT-112672,2024-10-25,"Win Back","Contract Upgrade",87.68,"App Notification",Yes,"Not Interested",No,No,2.10,2024-11-09
CMP-724017,NXT-112809,2025-04-10,"At Risk","Free Upgrade",61.45,SMS,Yes,Interested,No,Yes,2.98,2025-04-21
CMP-723333,NXT-112410,2025-10-15,"High Value Customer","Bonus Minutes",111.00,Email,No,,No,No,NULL,2025-10-21
CMP-700161,NXT-100082,2025-10-28,"Loyalty Campaign","Bonus Minutes",308.00,WhatsApp,Yes,"No Response",No,No,2.57,2025-11-11
CMP-719402,NXT-110297,2025-10-05,"Network Recovery","Contract Upgrade",6.39,WhatsApp,Yes,"Not Interested",No,Yes,1.30,2025-10-17
CMP-716228,NXT-108649,2025-09-04,"Network Recovery","Contract Upgrade",60.89,Email,Yes,Interested,Yes,No,31.38,2025-09-11
CMP-714583,NXT-107777,2024-08-20,"At Risk","Free Upgrade",23.91,SMS,Yes,Interested,Yes,Yes,32.35,2024-09-13
CMP-710209,NXT-105480,2025-07-16,"Win Back",Discount,5.32,WhatsApp,Yes,"No Response",No,No,2.46,2025-07-21
CMP-707840,NXT-104283,2025-04-13,"Network Recovery","reduced monthly fee",11.10,WhatsApp,Yes,Interested,Yes,YES,30.12,2025-04-29
CMP-700739,NXT-100400,2025-04-27,"Contract Renewal","Reduced Monthly Fee",36.50,Email,Yes,"Not Interested",No,Yes,1.81,2025-05-23
CMP-716587,NXT-108833,2024-03-12,"High Value Customer","CONTRACT UPGRADE",46.51,Email,Yes,Interested,Yes,Yes,38.58,2024-04-01
CMP-711151,NXT-105976,2024-11-17,"Contract Renewal","Reduced Monthly Fee",33.41,WhatsApp,Yes,Interested,Yes,Yes,40.29,2024-12-10
CMP-715158,NXT-108077,2024-05-03,"Network Recovery","FREE DATA",16.00,"App Notification",No,,No,No,0.16,2024-05-12
CMP-702757,NXT-101524,2025-02-24,"Network Recovery","Reduced Monthly Fee",27.68,Phone,Yes,"Requested More Info",No,No,1.59,2025-03-25
CMP-726687,NXT-114173,2024-06-07,"Win Back","Device Upgrade",89.13,Phone,Yes,Interested,Yes,No,15.26,2024-06-19
CMP-719007,NXT-110078,2024-10-11,"Contract Renewal","Contract Upgrade",46.81,SMS,No,,No,No,0.70,2024-10-27
CMP-716607,NXT-108842,2024-01-06,"Loyalty Campaign","Contract Upgrade",77.76,Email,NO,,No,No,0.21,2024-01-26
CMP-725276,NXT-113443,2025-01-21,"Contract Renewal","Bonus Minutes",220.00,SMS,Yes,"Requested More Info",No,Yes,2.27,2025-02-01
CMP-702024,NXT-101122,2023-09-05,"Loyalty Campaign","Free Data",2.30,WhatsApp,Yes,Interested,Yes,Yes,2.04,2023-09-19
CMP-716518,NXT-108801,2025-07-01,"Network Recovery","Reduced Monthly Fee",17.86,Email,Yes,"No Response",No,Yes,1.88,2025-07-18
CMP-722955,NXT-112188,2025-04-13,"Contract Renewal","Reduced Monthly Fee",35.20,Email,No,,No,No,1.80,2025-04-21
CMP-722116,NXT-111756,2025-08-12,"At Risk","Device Upgrade",38.82,SMS,No,,No,No,0.02,2025-09-02
CMP-705086,NXT-102786,2025-08-30,"Contract Renewal",Discount,24.97,"app notification",Yes,"Not Interested",No,No,0.48,2025-09-15
CMP-702701,NXT-101495,2024-11-14,"At Risk","Reduced Monthly Fee",25.34,Phone,Yes,"Not Interested",No,No,2.46,2024-11-20
CMP-722014,NXT-111705,2024-01-04,"At Risk","Reduced Monthly Fee",37.23,SMS,Yes,Interested,Yes,Yes,16.09,2024-01-14
CMP-723756,NXT-112653,2025-02-11,"At Risk",Discount,37.55,"App Notification",Yes,Interested,Yes,No,48.81,2025-02-17
CMP-702391,NXT-101318,2025-12-07,"Contract Renewal","Reduced Monthly Fee",25.44,"App Notification",Yes,"Requested More Info",No,Yes,1.34,2025-12-29
CMP-704279,NXT-102367,2025-03-25,"Contract Renewal","Contract Upgrade",57.83,SMS,No,,No,Yes,1.38,2025-04-19
CMP-720340,NXT-110792,2025-07-09,"At Risk","Contract Upgrade",66.84,Email,Yes,Interested,Yes,Yes,34.09,2025-08-02
CMP-719733,NXT-110485,2024-06-27,"Contract Renewal","Contract Upgrade",98.53,SMS,Yes,"Requested More Info",No,No,0.10,2024-07-12
CMP-715407,NXT-108216,2025-04-15,"At Risk","Contract Upgrade",81.61,"App Notification",Yes,"No Response",No,Yes,2.35,2025-05-02
CMP-715292,NXT-108150,2024-07-17,"Loyalty Campaign","Device Upgrade",53.56,Email,Yes,"No Response",No,no,1.94,2024-07-22
CMP-715678,NXT-108359,2024-09-19,"Network Recovery","Bonus Minutes",58.00,Phone,Yes,"No Response",No,No,0.87,2024-10-13
CMP-718728,NXT-109954,2024-05-25,"Network Recovery","Device Upgrade",62.27,"App Notification",Yes,Interested,Yes,Yes,51.82,2024-06-03
CMP-720812,NXT-111047,2025-11-23,"Contract Renewal","Free Data",13.40,WhatsApp,Yes,"Requested More Info",No,Yes,1.48,2025-12-21
CMP-703444,NXT-101921,2024-11-18,"At Risk","Free Data",8.00,Phone,Yes,"Not Interested",No,No,2.05,2024-12-12
CMP-727235,NXT-114479,2025-02-27,"At Risk","Device Upgrade",42.66,Email,Yes,"No Response",No,No,1.03,2025-03-11
CMP-704383,NXT-102424,2025-05-01,"At Risk","Contract Upgrade",98.19,Email,Yes,"Requested More Info",No,No,0.68,2025-05-09
CMP-717884,NXT-109517,2025-01-13,"At Risk","Bonus Minutes",130.00,SMS,No,,No,No,0.62,2025-02-11
CMP-707184,NXT-103934,2024-09-26,"Loyalty Campaign","Free Data",14.40,Phone,Yes,"Requested More Info",No,Yes,1.23,2024-10-03
CMP-702451,NXT-101351,2025-10-09,"Contract Renewal","Reduced Monthly Fee",7.43,Email,No,,No,yes,1.14,2025-11-02
CMP-720480,NXT-110876,2025-05-16,"High Value Customer",Discount,30.48,Email,Yes,Interested,No,No,2.65,2025-05-28
CMP-705002,NXT-102747,2025-05-08,"Win Back","Device Upgrade",97.72,Email,Yes,Interested,Yes,No,27.41,2025-06-01
CMP-707880,NXT-104304,2025-01-22,"Loyalty Campaign","Contract Upgrade",59.20,Phone,No,,No,Yes,1.56,2025-02-05
CMP-719243,NXT-110211,2024-01-09,"Contract Renewal","Bonus Minutes",167.00,Phone,No,,No,No,1.74,2024-01-16
CMP-728071,NXT-114941,2025-07-21,"At Risk","Device Upgrade",83.85,WhatsApp,No,,No,No,1.24,2025-08-17
CMP-725542,NXT-113576,2023-10-06,"Win Back",Discount,30.32,Email,Yes,"No Response",No,No,2.36,2023-11-05
CMP-708345,NXT-104536,2025-10-19,"Network Recovery","Contract Upgrade",69.95,WhatsApp,Yes,"No Response",No,YES,2.04,2025-10-29
CMP-723330,NXT-112407,2025-08-25,"At Risk","Bonus Minutes",256.00,SMS,Yes,"Not Interested",No,No,1.93,2025-09-18
CMP-713622,NXT-107255,2025-10-21,"Win Back","Bonus Minutes",494.00,Email,Yes,Interested,Yes,Yes,NULL,2025-11-06
CMP-711431,NXT-106121,2024-10-05,"Contract Renewal","Device Upgrade",35.83,WhatsApp,Yes,Interested,Yes,Yes,NULL,2024-10-13
CMP-707083,NXT-103877,2024-02-27,"Contract Renewal","Free Data",16.60,Email,Yes,Interested,No,No,1.23,2024-03-15
CMP-702429,NXT-101342,2024-12-21,"LOYALTY CAMPAIGN","Device Upgrade",40.84,Phone,No,,No,No,1.88,2025-01-07
CMP-708826,NXT-104795,2024-11-15,"High Value Customer","Free Upgrade",63.02,"App Notification",Yes,Interested,No,Yes,0.45,2024-11-21
CMP-703231,NXT-101800,2025-07-01,"Network Recovery","Bonus Minutes",491.00,Phone,Yes,"Requested More Info",No,No,2.82,2025-07-18
CMP-712893,NXT-106887,2025-05-21,"Network Recovery",Discount,32.56,"App Notification",Yes,"Not Interested",No,No,1.14,2025-06-06
CMP-709132,NXT-104941,2025-05-12,"High Value Customer","Contract Upgrade",21.00,WhatsApp,Yes,"Requested More Info",No,No,2.28,2025-06-02
CMP-720831,NXT-111058,2024-09-08,"High Value Customer","Device Upgrade",25.96,WhatsApp,Yes,Interested,Yes,Yes,32.93,2024-09-28
CMP-706797,NXT-103722,2024-05-20,"At Risk",Discount,26.47,Email,Yes,Interested,Yes,Yes,2.51,2024-05-30
CMP-705012,NXT-102751,2025-02-17,"Contract Renewal","Device Upgrade",30.95,Email,Yes,"No Response",No,Yes,NULL,2025-03-07
CMP-703244,NXT-101808,2024-12-13,"high value customer","Contract Upgrade",57.40,Email,Yes,"No Response",No,No,2.31,2024-12-30
CMP-701333,NXT-100733,2024-10-27,"loyalty campaign","Free Data",7.90,Phone,No,,No,No,1.19,2024-11-03
CMP-708015,NXT-104374,2025-01-24,"Contract Renewal","Contract Upgrade",72.36,Email,Yes,"Requested More Info",No,Yes,0.15,2025-02-12
CMP-718037,NXT-109581,2024-08-17,"loyalty campaign","Device Upgrade",92.51,WhatsApp,Yes,Interested,Yes,Yes,26.49,2024-09-11
CMP-711236,NXT-106015,2024-09-14,"Contract Renewal","Bonus Minutes",248.00,Phone,Yes,"Not Interested",No,Yes,0.09,2024-10-11
CMP-713912,NXT-107410,2024-11-22,"Loyalty Campaign","Contract Upgrade",74.13,Phone,Yes,Interested,Yes,Yes,24.75,2024-12-15
CMP-707974,NXT-104356,2024-05-15,"Win Back","Free Upgrade",10.88,"App Notification",Yes,"Not Interested",No,No,1.25,2024-06-06
CMP-705762,NXT-103155,2025-02-27,"Win Back",Discount,22.19,Phone,No,,No,No,0.31,2025-03-14
CMP-726872,NXT-114273,2025-01-21,"Loyalty Campaign","Contract Upgrade",9.22,"App Notification",Yes,"Requested More Info",No,No,0.88,2025-01-31
CMP-701597,NXT-100889,2024-10-03,"At Risk","Device Upgrade",60.41,SMS,No,,No,No,2.14,2024-10-15
CMP-711233,NXT-106013,2025-01-07,"Contract Renewal","Bonus Minutes",469.00,"App Notification",No,,No,No,NULL,2025-02-05
CMP-707100,NXT-103887,2024-01-31,"WIN BACK","Device Upgrade",38.38,"App Notification",Yes,Interested,No,No,1.08,2024-02-15
CMP-717292,NXT-109202,2024-11-23,"win back",Discount,10.18,SMS,No,,No,No,1.72,2024-12-16
CMP-720137,NXT-110694,2024-05-14,"Win Back","Device Upgrade",13.33,"App Notification",YES,Interested,Yes,Yes,51.48,2024-05-18
CMP-706037,NXT-103305,2025-06-03,"Loyalty Campaign",Discount,9.23,WhatsApp,Yes,"Requested More Info",No,Yes,2.04,2025-06-28
CMP-722427,NXT-111926,2024-07-02,"Contract Renewal","Bonus Minutes",164.00,Email,Yes,"Requested More Info",No,No,NULL,2024-07-20
CMP-723636,NXT-112589,2025-08-29,"Loyalty Campaign",Discount,31.61,Email,Yes,"No Response",No,Yes,0.12,2025-09-06
CMP-712729,NXT-106816,2023-04-18,"Contract Renewal","Device Upgrade",89.04,phone,Yes,"Not Interested",No,No,0.80,2023-04-21
CMP-703351,NXT-101874,2025-10-14,"At Risk","Contract Upgrade",41.78,Phone,Yes,Interested,Yes,No,12.27,2025-10-24
CMP-703208,NXT-101790,2025-12-20,"Contract Renewal",Discount,7.82,Phone,Yes,"No Response",No,No,0.94,2026-01-15
CMP-713991,NXT-107462,2024-10-27,"Contract Renewal","Reduced Monthly Fee",NULL,Email,Yes,"Not Interested",No,Yes,2.81,2024-10-30
CMP-714218,NXT-107575,2025-03-09,"Win Back","Contract Upgrade",90.47,WhatsApp,No,,No,No,1.44,2025-03-31
CMP-719790,NXT-110512,2025-05-03,"Contract Renewal","Device Upgrade",46.39,Email,Yes,"No Response",No,No,0.81,2025-05-31
CMP-724717,NXT-113167,2025-05-06,"Loyalty Campaign","Bonus Minutes",285.00,"App Notification",Yes,Interested,Yes,Yes,50.21,2025-05-25
CMP-707979,NXT-104357,2025-03-10,"Contract Renewal","Free Upgrade",69.24,"App Notification",Yes,"Not Interested",No,No,2.54,2025-03-21
CMP-700605,NXT-100317,2025-08-06,"High Value Customer","Free Upgrade",45.48,SMS,Yes,Interested,Yes,Yes,50.68,2025-08-30
CMP-707473,NXT-104081,2025-11-29,"High Value Customer","Free Upgrade",55.48,Phone,Yes,"No Response",No,Yes,1.94,2025-12-03
CMP-713994,NXT-107462,2025-10-08,"High Value Customer","Device Upgrade",81.60,"App Notification",No,,No,Yes,0.41,2025-10-23
CMP-723158,NXT-112302,2025-11-02,"Loyalty Campaign","Free Upgrade",28.49,Phone,Yes,Interested,Yes,Yes,16.81,2025-11-30
CMP-706496,NXT-103551,2024-10-08,"High Value Customer",Discount,29.45,EMAIL,No,,No,No,2.44,2024-10-18
CMP-709946,NXT-105344,2024-02-20,"Contract Renewal","Reduced Monthly Fee",9.69,WhatsApp,Yes,"No Response",No,No,1.65,2024-03-16
CMP-711421,NXT-106117,2024-11-03,"High Value Customer","Contract Upgrade",17.74,Phone,Yes,Interested,Yes,Yes,30.78,2024-11-28
CMP-709582,NXT-105161,2025-04-18,"Contract Renewal","Bonus Minutes",396.00,"App Notification",Yes,"Requested More Info",No,yes,0.50,2025-04-29
CMP-721475,NXT-111394,2024-12-29,"Loyalty Campaign",Discount,28.24,Phone,Yes,"No Response",No,No,2.48,2025-01-04
CMP-727180,NXT-114455,2024-10-13,"Contract Renewal","Device Upgrade",61.07,Phone,Yes,Interested,Yes,Yes,7.50,2024-10-29
CMP-718981,NXT-110067,2025-02-01,"Network Recovery","Device Upgrade",33.51,Phone,Yes,"Not Interested",No,No,1.46,2025-02-21
CMP-717166,NXT-109138,2025-10-30,"Loyalty Campaign","Contract Upgrade",7.96,Email,Yes,Interested,Yes,No,29.22,2025-11-13
CMP-704532,NXT-102503,2024-12-15,"Contract Renewal","Reduced Monthly Fee",17.13,WhatsApp,Yes,"No Response",No,No,2.64,2025-01-05
CMP-708131,NXT-104430,2025-11-11,"At Risk","Bonus Minutes",180.00,WhatsApp,Yes,"Requested More Info",No,No,2.04,2025-11-30
CMP-718219,NXT-109676,2023-10-14,"Network Recovery","Free Upgrade",96.76,SMS,Yes,,No,No,2.70,2023-10-24
CMP-713216,NXT-107056,2025-10-25,"Network Recovery","Free Upgrade",45.76,Email,Yes,"No Response",No,Yes,2.49,2025-10-30
CMP-707384,NXT-104039,2024-01-26,"Loyalty Campaign","Free Data",2.50,SMS,Yes,"No Response",NO,No,1.53,2024-02-06
CMP-715110,NXT-108049,2024-01-10,"Win Back","Reduced Monthly Fee",35.45,Email,Yes,"Not Interested",No,No,1.13,2024-01-24
CMP-707836,NXT-104279,2025-08-13,"Win Back","Free Upgrade",55.22,Email,Yes,Interested,Yes,No,3.34,2025-09-02
CMP-702886,NXT-101597,2024-12-30,"Win Back","Reduced Monthly Fee",16.29,"App Notification",Yes,"No Response",No,No,1.74,2025-01-19
CMP-714232,NXT-107581,2025-09-24,"High Value Customer","Reduced Monthly Fee",6.95,sms,Yes,"No Response",No,Yes,2.82,2025-10-05
CMP-706229,NXT-103398,2025-10-29,"Loyalty Campaign","Device Upgrade",35.56,SMS,Yes,"Requested More Info",No,No,2.37,2025-11-10
CMP-701695,NXT-100951,2025-11-25,"High Value Customer","Free Upgrade",92.45,Phone,Yes,Interested,Yes,Yes,57.26,2025-12-02
CMP-722729,NXT-112069,2025-09-26,"Loyalty Campaign","Free Data",9.70,"App Notification",Yes,Interested,Yes,No,33.85,2025-10-10
CMP-712043,NXT-106457,2024-04-23,"Loyalty Campaign","Free Upgrade",28.25,WhatsApp,Yes,"No Response",No,Yes,0.68,2024-05-15
CMP-704629,NXT-102559,2024-08-09,"High Value Customer","Free Data",11.90,Phone,Yes,"No Response",No,No,1.10,2024-08-19
CMP-704919,NXT-102712,2024-11-11,"At Risk","Contract Upgrade",36.45,WhatsApp,Yes,"Requested More Info",No,No,0.53,2024-12-05
CMP-726321,NXT-113998,2024-12-13,"At Risk","Free Data",18.10,"App Notification",Yes,"Requested More Info",No,No,0.76,2024-12-23
CMP-701514,NXT-100833,2024-08-26,"Win Back",Discount,NULL,Phone,No,,No,No,2.70,2024-09-02
CMP-702377,NXT-101310,2024-12-27,"at risk",Discount,25.15,"App Notification",No,,No,No,0.21,2025-01-17
CMP-715623,NXT-108337,2025-09-01,"Loyalty Campaign",Discount,35.79,Email,No,,No,Yes,2.67,2025-09-13
CMP-714323,NXT-107630,2025-10-17,"Loyalty Campaign",Discount,33.64,"App Notification",Yes,"Not Interested",No,Yes,0.04,2025-11-15
CMP-704182,NXT-102324,2025-08-19,"Win Back","Device Upgrade",62.13,WhatsApp,Yes,"Not Interested",No,No,0.35,2025-09-16
CMP-701420,NXT-100778,2024-10-29,"Win Back","Free Data",16.80,Phone,Yes,Interested,Yes,No,6.52,2024-11-22
CMP-707354,NXT-104019,2024-12-06,"Win Back","Free Data",3.70,"App Notification",Yes,"Not Interested",No,No,1.16,2024-12-30
CMP-728049,NXT-114930,2024-04-19,"High Value Customer","Free Upgrade",59.44,"App Notification",Yes,,No,No,2.61,2024-04-24
CMP-721169,NXT-111226,2025-07-29,"loyalty campaign","Free Upgrade",NULL,SMS,Yes,"Requested More Info",No,No,0.76,2025-08-06
CMP-707839,NXT-104282,2025-08-19,"High Value Customer","Bonus Minutes",322.00,Email,Yes,"Requested More Info",No,No,2.08,2025-09-17
CMP-719481,NXT-110337,2024-08-30,"At Risk","Free Upgrade",31.47,Email,Yes,"No Response",No,No,NULL,2024-09-06
CMP-711901,NXT-106380,2025-05-08,"High Value Customer",Discount,10.78,SMS,Yes,"No Response",No,No,1.40,2025-05-26
CMP-710825,NXT-105812,2024-01-13,"High Value Customer","Bonus Minutes",95.00,WhatsApp,Yes,"Not Interested",No,No,1.34,2024-02-04
CMP-713383,NXT-107134,2025-07-10,"Loyalty Campaign","Bonus Minutes",284.00,"App Notification",YES,"Not Interested",No,No,2.18,2025-07-19
CMP-724045,NXT-112819,2024-04-27,"Win Back","Reduced Monthly Fee",12.65,SMS,Yes,Interested,Yes,No,36.58,2024-04-30
CMP-707963,NXT-104348,2025-05-08,"Contract Renewal","Reduced Monthly Fee",8.36,SMS,Yes,"Not Interested",No,Yes,0.57,2025-06-07
CMP-711293,NXT-106044,2024-04-24,"Network Recovery","Reduced Monthly Fee",31.06,WhatsApp,No,,no,No,0.37,2024-05-03
CMP-721039,NXT-111170,2025-03-24,"At Risk",Discount,21.49,Email,No,,No,No,2.50,2025-03-28
CMP-715135,NXT-108068,2025-07-09,"Contract Renewal","Free Data",13.20,Phone,Yes,"Requested More Info",No,Yes,1.94,2025-07-26
CMP-721946,NXT-111661,2025-08-07,"Contract Renewal","Reduced Monthly Fee",11.17,PHONE,Yes,"Requested More Info",No,Yes,2.96,2025-08-27
CMP-700559,NXT-100295,2024-10-18,"Network Recovery","Device Upgrade",24.36,Phone,Yes,"Requested More Info",No,No,0.32,2024-11-06
CMP-726264,NXT-113970,2025-08-09,"Network Recovery","Free Data",19.00,WhatsApp,Yes,"Not Interested",No,No,0.37,2025-08-22
CMP-714032,NXT-107480,2025-04-01,"High Value Customer","Reduced Monthly Fee",28.84,Email,Yes,Interested,No,No,2.23,2025-04-15
CMP-711152,NXT-105976,2023-12-05,"High Value Customer","Bonus Minutes",456.00,SMS,No,,No,No,0.95,2023-12-21
CMP-708443,NXT-104588,2025-04-01,"Win Back","Bonus Minutes",460.00,Phone,Yes,"Requested More Info",No,No,0.92,2025-04-15
CMP-715852,NXT-108452,2024-09-23,"High Value Customer","Reduced Monthly Fee",32.45,WhatsApp,Yes,"Not Interested",No,no,2.67,2024-10-12
CMP-718327,NXT-109733,2025-07-14,"At Risk","Bonus Minutes",173.00,WhatsApp,Yes,"Not Interested",No,Yes,2.32,2025-07-20
CMP-703398,NXT-101897,2025-07-19,"Contract Renewal",Discount,18.27,WhatsApp,Yes,Interested,Yes,No,37.48,2025-08-04
CMP-712221,NXT-106557,2024-08-28,"Contract Renewal","Reduced Monthly Fee",12.88,"App Notification",Yes,Interested,Yes,Yes,4.17,2024-09-13
CMP-700431,NXT-100231,2025-07-19,"At Risk","Contract Upgrade",NULL,WhatsApp,No,,No,No,2.47,2025-07-23
CMP-725915,NXT-113774,2025-08-12,"Contract Renewal","Reduced Monthly Fee",7.16,"App Notification",Yes,"Requested More Info",No,No,1.64,2025-09-06
CMP-708209,NXT-104466,2024-01-07,"Loyalty Campaign","Contract Upgrade",92.19,Email,No,,No,Yes,2.43,2024-01-13
CMP-727689,NXT-114733,2025-10-21,"Loyalty Campaign","Reduced Monthly Fee",16.17,Phone,Yes,Interested,Yes,Yes,4.30,2025-10-26
CMP-723080,NXT-112260,2025-08-02,"High Value Customer","Reduced Monthly Fee",36.99,"App Notification",Yes,"Not Interested",No,Yes,0.99,2025-08-11
CMP-700722,NXT-100388,2025-04-05,"At Risk","Bonus Minutes",206.00,Email,No,,No,Yes,0.50,2025-04-14
CMP-709881,NXT-105314,2025-07-06,"High Value Customer","Free Upgrade",3.39,Phone,No,,No,No,0.64,2025-07-13
